num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
4383,470731848,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1074,262,15,iOS
4384,470731581,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4385,470729679,NULL,2793314,The_Perfect_Wave,2019-09-05,US,5056,4,39647,11599,1,Android
4386,470728373,NULL,6189396,GeekOnToast,2021-12-20,US,2,0,76,2649,7,Android
4387,470727576,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4388,470727562,Bullish,2243263,EasyMoneyOps,2019-08-06,US,136,118,10294,4162,45,iOS
4389,470725971,Bullish,6736203,JamieCoveny14,2022-07-08,NULL,0,0,1,0,0,Web
4390,470724981,NULL,241743,RaffiSosikian,2013-06-26,US,176,5,3048,2746,35,Web
4391,470724532,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4392,470724325,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4393,470724036,Bullish,4818452,Withartu,2021-02-01,US,2,0,303,89,0,Web
4394,470721902,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1093,266,15,iOS
4395,470721267,Bullish,5623535,ArcRo,2021-06-21,US,11,1,1501,829,22,Android
4396,470721067,Bullish,1870449,9owls,2019-02-14,US,109,4,12216,1108,22,Web
4397,470720571,Bullish,5341879,4diamondGeneraldoge,2021-04-12,US,14,22,1602,969,31,iOS
4398,470718837,Bullish,4088002,hamoodipal,2020-09-19,US,21,0,2251,1204,36,iOS
4399,470717994,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4400,470717044,Bullish,2841306,DeFi_Wookie,2019-10-04,US,328,19,25194,6769,21,iOS
4401,470715804,NULL,4744627,JavierAyala,2021-01-28,US,235,23,8639,818,12,iOS
4402,470714431,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4403,470713883,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
4404,470713871,Bearish,6028858,rusic1,2021-10-26,US,5,2,644,2998,38,iOS
4405,470712656,Bearish,5424780,Stocks_only_,2021-05-03,US,22,5,1800,1733,8,iOS
4406,470711798,Bullish,4025141,Thomson88,2020-08-30,US,10,10,1013,608,300,iOS
4407,470711276,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6157,414,91,Android
4408,470706088,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4409,470703077,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8446,2,167626,21810,296,Web
